from,to,weight
FA,ADC Festival,7
FA,Deutscher Preis für Onlinekommunikation_Purpose Driven Communications,1
FA,Deutscher Preis für Onlinekommunikation_Film_Video,1
FA,PR Report_Bild und Bewegtbild,1
FA,PR Report_Event- und Livekommunikation,1
FA,Internationaler Deutscher PR Preis der DPRG_Public Affairs,1
FA,Internationaler Deutscher PR Preis der DPRG_Bewegtbild,1
FA,Internationaler Deutscher PR Preis der DPRG_Kreativer Kommunikationsansatz,1
MC,,
SCG,ADC Festival,5
SCG,Deutscher Digital Award,3
SCG,Deutscher Preis für Onlinekommunikation_Kampagne von NGOs,1
SCG,Deutscher Preis für Onlinekommunikation_Disruptive Communications,1
SCG,Deutscher Preis für Onlinekommunikation_Gastronomie und Touristik,1
SCG,Deutscher Preis für Wirtschaftskommunikation_Mitreißendes Storytelling,
SCG,PR Report_Content-Kommunikation,1
OSK,Digital Communication Award_Event und Experiential Marketing,1
OSK,Digital Commmunication Award_Social Media Communikations,5
EM,PR Report_Kampagne des Jahres,1
EM,PR Report_Kommunikation im öffentlichen Raum,1
EM,Internationaler Deutscher PR Preis der DPRG_Verbände und öffentliche Einrichtungen,1
WS,,
FG,,
